message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,A verified bank sent an official account or payment update that matches the user's active history.,0.91,message_0243;message_0102
msg_091,mute,scam,The message uses fake workspace access pressure to trick the user into providing a login code.,0.55,message_0381;message_0238
msg_090,digest,personal,"The sender is unfamiliar, but the message is casual, polite, and carries no urgency or risk.",0.82,none
msg_048,mute,scam,The message mimics an official admin warning to push users into scanning a suspicious payment QR code.,0.55,message_0152;message_0151
msg_040,mute,forward,The message is a heavily forwarded chain letter from a muted group that the user consistently dismisses.,0.55,message_0136;message_0135
msg_075,notify,business_update,A verified ride booking service sent an active ride status update.,0.89,message_0206;message_0205
msg_005,notify,promotion,A marketplace peer sent a time-sensitive item hold request that requires a prompt response.,0.85,message_0332;message_0114
msg_104,mute,promotion,The user has a history of dismissing and muting marketplace pickup messages from this sender.,0.59,message_0115;message_0232
msg_069,mute,forward,The message is a generic religious forward from a muted family group with a high dismissal history.,0.55,message_0194;message_0193
msg_107,mute,scam,The message attempts to manipulate the notification routing system.,0.95,none
msg_070,mute,scam,The message uses fake account blocking and OTP leak language to push phishing links.,0.66,message_0214;message_0213
msg_003,notify,business_update,A verified business is sending an update that matches the user's recent delivery history.,0.91,message_0031;message_0400
msg_099,digest,personal,"The message is useful work information, but it is not urgent enough to interrupt the user.",0.83,message_0055
msg_008,digest,business_update,A verified business is sending a feedback request that can wait for later.,0.8,message_0072;message_0071
msg_092,digest,business_update,A verified business is sending a monthly card statement update that does not require immediate action.,0.82,none
msg_060,notify,event,A university advisory sent a same-day operational deadline that the user needs immediately.,0.88,message_0176;message_0404
msg_004,notify,event,A verified business is sending an upcoming appointment reminder.,0.89,message_0245;message_0063
msg_030,mute,promotion,The user has muted the group and has a history of dismissing marketplace items from this sender.,0.55,message_0115;message_0232
msg_045,notify,urgent,A delivery person at the gate sent a time-sensitive instruction requiring immediate action.,0.9,message_0146;message_0145
msg_052,mute,scam,The sender domain does not match the verified business domain.,0.92,none
msg_009,digest,personal,The message is casual group chat from a muted group with no urgent action required.,0.55,message_0074;message_0073
msg_071,digest,personal,The message is safe family chat with no immediate action or strict timeline.,0.81,message_0197
msg_016,mute,scam,The message attempts to create panic with fake account-blocking language and links to an external login site.,0.55,message_0087;message_0184
msg_065,digest,promotion,"A verified business is sending a promotional reminder, which can wait since it is not critically urgent.",0.81,message_0186;message_0185;message_0261
msg_038,mute,forward,The message is a heavily forwarded chain message requesting mass distribution.,0.55,message_0131;message_0132
msg_086,notify,event,A verified travel business is sending an update regarding a rescheduled airport pickup for tomorrow.,0.9,message_0222
msg_014,mute,promotion,The user has opted out of promotions from this sender and consistently dismisses their messages.,0.55,message_0017;message_0084;message_0083
msg_094,digest,promotion,"A promotional broadcast from a brand, safe to review later without immediate interruption.",0.77,none
msg_029,digest,promotion,"Marketplace listing for a secondhand item, useful for browsing later but not urgent.",0.68,message_0332;message_0114
msg_105,mute,forward,The message is a forwarded health tip with unverified medical advice and high forward count.,0.55,message_0233;message_0373
msg_002,notify,urgent,A coworker is directly asking for a call regarding an immediate upcoming client meeting.,0.91,message_0371;message_0170
msg_010,digest,business_update,"A verified cinema business is asking for feedback, which can be completed at the user's convenience.",0.82,message_0011;message_0242;message_0076
msg_078,mute,scam,The message is a suspicious phishing or scam attempt sent in a muted marketplace group with high forward counts.,0.55,message_0211;message_0212
msg_013,digest,promotion,"The message offers a secondhand item for sale, which is safe and non-urgent.",0.56,message_0082
msg_018,mute,spam,"The message is a promotional reward scam from a marketplace group, matching historical spam patterns.",0.55,message_0091;message_0092;message_0026
msg_044,mute,scam,The message uses account security threats and verification pressure typical of phishing scams.,0.55,message_0143;message_0144
msg_032,digest,personal,A student asking for review slides is helpful academic chat that does not require immediate interruption.,0.84,message_0374;message_0285
msg_106,notify,event,A direct personal update about a venue change for practice happening today requires immediate attention.,0.89,message_0234;message_0376
msg_006,notify,urgent,A society admin announcement regarding a same-day deadline (5 PM) for maintenance closure requires immediate user awareness.,0.88,message_0130;message_0150
msg_109,mute,scam,The message attempts to manipulate the notification routing system.,0.95,none
msg_108,mute,scam,The message attempts to manipulate the notification routing system.,0.95,none
msg_019,mute,scam,The sender domain does not match the verified business domain.,0.92,none
msg_088,mute,promotion,The message is from a muted marketplace group with low engagement and negative user bias.,0.55,message_0115;message_0232
msg_056,notify,urgent,A family member sent a time-sensitive appointment rescheduling request requiring an immediate response.,0.55,message_0226;message_0168
msg_027,digest,promotion,"A verified travel business promotional message matching user interests, safe to read later.",0.82,message_0272;message_0109
msg_050,notify,business_update,A verified healthcare business is sending an update that matches the user's recent prescription history.,0.91,message_0156;message_0155
msg_083,notify,urgent,A coworker sent a voice note with a time-sensitive request requiring action before lunch tomorrow.,0.88,message_0219
msg_063,mute,scam,The message demands payment under false service reactivation pretenses and exhibits scam characteristics.,0.55,message_0181;message_0182
msg_033,digest,greeting,"A family member sent a safe, non-urgent greeting that can be read later without interruption.",0.84,message_0409
msg_061,mute,forward,The message is a heavily forwarded low-value broadcast in a muted family group.,0.55,message_0193;message_0194
msg_020,mute,spam,The message contains suspicious links and resembles previous dismissed marketplace spam.,0.61,message_0095;message_0096
msg_017,mute,scam,The message demands payment through threats from a muted group and matches previous scam reports.,0.55,message_0089;message_0090
msg_058,mute,forward,The message is a repeatedly forwarded health chain message in a muted family group.,0.55,message_0077;message_0078
msg_026,mute,scam,The sender domain does not match the verified business domain.,0.92,none
msg_047,notify,urgent,A society maintenance admin sent a time-sensitive same-day operational alert affecting building access.,0.9,message_0130;message_0150
msg_046,mute,scam,"The message asks for an OTP under account-closure pressure, posing a direct security risk.",0.55,message_0147;message_0148
msg_042,notify,urgent,A trusted society maintenance source sent a time-sensitive alert about moving vehicles.,0.92,message_0057;message_0140
msg_079,mute,scam,"The message demands urgent account verification and OTP, typical of scam patterns.",0.65,message_0213;message_0214
msg_098,notify,urgent,A personal contact is asking for an immediate call regarding an urgent medical appointment decision.,0.91,message_0168;message_0226
msg_037,notify,urgent,An urgent society water tanker notice requiring immediate action from residents.,0.89,message_0130;message_0150
msg_007,digest,event,Useful community event information that can be read later without urgent interruption.,0.86,message_0069;message_0070
msg_085,mute,scam,The sender domain does not match the verified business domain.,0.92,none
msg_001,notify,urgent,A time-sensitive society water supply update from a trusted group.,0.93,message_0057;message_0140
